Directors Score,Total Revenue,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,Company Age (Months),Sector_Risk,company_name,application_file,Outcome,is_labelled,is_rejected_or_unfunded,prob_repaid,predicted_pd,_train_set
50.0,35121.0,0,0.0,-0.116,50.0,0.9461369304432352,-0.0930347128755944,4214.189166666666,0.0,0,101.0,0,A&A Building Construction Ltd,A&A Building Construction Ltd.json,0,True,False,0.04294533549173381,0.9570546645082662,1
54.21,66578.0,0,0.0,0.04,19.98,0.7543694053482198,1.4842767040350056,1259.6355555555565,0.0,8,42.0,0,Accounted Ltd,Accounted Ltd.json,0,True,False,0.1827020918242441,0.8172979081757559,0
81.22,395692.0,0,0.0,-0.113,6.88,0.5861114099855486,-0.3687964611388178,629.5307692307712,10.461538461538462,0,146.0,0,Advanced Automotive Performance Ltd,Advanced Automotive Performance Ltd.json,0,True,False,0.3425627591329988,0.6574372408670013,1
73.67,71438.0,0,0.0,0.003,50.0,0.3883255857104457,0.0868144277708428,531.2161538461538,0.7692307692307693,1,37.0,0,Aesthetic Precision,Aesthetic Precision.json,0,True,False,0.4765585958907139,0.5234414041092861,1
69.09,71177.0,0,0.0,-0.083,50.0,0.3891381645437664,0.1450201616908011,3015.93,0.0,0,59.0,0,Akar Food Ltd,Akar Food Ltd.json,1,True,False,0.5267720963745126,0.4732279036254874,1
77.8,496670.0,0,0.0,-0.07,50.0,0.5033612292895215,0.0179143712024374,3423.546923076903,1.5384615384615383,0,33.0,0,Alex Sounthhampton,Alex Sounthhampton.json,0,True,False,0.32355710655416425,0.6764428934458357,1
69.22,56.0,0,0.0,1.0,4.66,1.0,-1.0,0.3799999999999969,0.0,0,47.0,0,All In The Wrap Limited,All in the wrap Limited.json,0,True,False,0.01983924792706374,0.9801607520729363,1
92.75,24086.0,0,0.0,-1.0,26.66,0.7780683016478762,-0.3534190838880273,18119.894545454536,5.090909090909091,0,29.0,0,Anthony Healthcare Ltd,Anthony Healthcare Ltd.json,0,True,False,0.1341199320755309,0.8658800679244691,1
65.33,42162.0,0,0.0,0.041,6.42,0.6535330274554033,3.107638621032511,176.9000000000001,0.0,0,26.0,0,Apollo Supermarket,Apollo Supermarket.json,0,True,False,0.20350748803411475,0.7964925119658852,1
76.9,595829.0,0,0.0,0.075,11.08,0.4155444070998378,0.2324192367906769,7518.159999999996,0.0,4,21.0,0,Ashby Street Motors Ltd,Ashby Street Motors Ltd.json,0,True,False,0.6495244912742474,0.3504755087257526,1
