Directors Score,Total Revenue,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,Company Age (Months),Sector_Risk,synthetic_id,scenario_name,generated_at,data_source,synthetic_label_type,synthetic_pd,synthetic_outcome
68,271803.0710300092,0.0,0.0,-0.02296050240493476,10.0,0.5485842109946788,0.9509449302990868,-21.01546820839053,2.0,12,57,0,syn_0,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,0
79,0.0,0.002498823745537486,0.09614933178118179,0.1322765068950782,0.0,1.0426728653131878,-1.0,5044.877841992314,0.0,0,73,0,syn_1,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.18926756856023508,1
27,195742.61722794344,0.0,0.0,0.04607668257607189,10.0,0.36677990432270446,-1.0,748.1164437830647,0.7479057743815496,0,37,0,syn_2,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,1
57,206295.74186314756,0.0,0.0,0.3694286448846853,10.0,0.867707805716719,-0.4588761870244744,-474.3988725799131,16.77775249901528,0,123,0,syn_3,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,1
31,105339.20818054501,17593.991477462023,0.16702224918291572,0.030598796022292204,0.18320191574466044,0.6250174504994297,-1.0,-2216.8547544575504,3.4862449760003296,0,33,0,syn_4,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,0
41,0.0,0.0,0.06270276949003906,-0.032925784921175504,10.0,0.6794754384938538,0.9315407596240866,8187.092476882374,0.0,2,17,0,syn_5,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,1
66,0.0,0.0,0.21319604615752874,-0.023054927542320934,10.0,0.502771577130202,-1.0,318.54202920322473,2.0,17,69,0,syn_6,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,0
60,0.0,0.0,0.0,-0.1119248108870241,10.0,0.3872074896360002,1.5434529897523288,-4570.284866197699,4.227779064846668,0,51,0,syn_7,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.19896624020568074,1
80,0.0,0.08921444029641612,0.0,-0.9466112658872629,0.0,0.6403655621097832,4.577020768034293,27348.10381450026,0.0,0,142,0,syn_8,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,1
67,0.0,0.2212577420119778,0.08575128769232271,-0.039748526356152544,0.0,0.7169549446617642,-1.0,5802.6186937540915,2.2717282032914126,0,23,0,syn_9,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.20855013467189035,1
71,0.0,0.0,0.1286653589378089,-0.2039882988609604,10.0,0.6896906577096544,0.7767215762127052,2918.286439740684,0.11938758502878757,1,21,0,syn_10,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.1895545115083252,1
60,456101.3014602219,0.0,0.0,0.019053072070499107,10.0,0.35168986114425954,0.43928957196737833,40275.19908013474,0.0,2,16,0,syn_11,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.17314137487757106,1
79,26146.824727162777,0.0,0.0,0.3093560659557513,10.0,0.7243611462780954,0.8616733712879543,956.3031549915752,7.681574814904501,4,17,0,syn_12,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.18737374510284038,1
58,0.0,0.0,0.0631210007180681,0.12636046497056816,10.0,0.6587389870128952,-1.0,-365.74458752530796,1.5997767699946848,0,32,0,syn_13,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,1
70,0.0,0.0,0.42584942240565965,-0.43252580480479885,10.0,0.7536377481889974,5.0,-1990.8242939952006,0.0,1,57,0,syn_14,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.18628336190009798,1
63,391329.2597119428,34027.33721377786,0.08695321489332374,-0.15782001596468634,0.0,0.4166377062739236,-0.5767940534296769,-814.137953617553,11.921376014911514,0,57,0,syn_15,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,0
62,3316950.1432623733,35262.72755271368,0.010631069515573473,-0.7309946558225734,0.0,0.4917484336509972,0.15382991200673968,-23406.85791746266,26.22747021136675,0,89,0,syn_16,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2701854799216455,1
53,639692.6709263903,61428.84322865336,0.09602868067832217,-0.23547559574300467,0.0,1.230555686539263,5.0,-628.6348410677751,6.1937234494743905,0,31,0,syn_17,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,1
60,327786.3174507661,96466.98699715783,0.29429839459863144,0.020466813073231893,0.06954442650339578,0.49345073760333386,1.0119419169080501,711.813857308031,2.0,13,61,0,syn_18,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,1
65,707084.2620632784,0.0,0.0,-0.31267460996215246,10.0,0.6323184319158094,1.3985840344523677,2596.692502468823,15.782554917999661,36,56,0,syn_19,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,0
82,384117.8509148367,5112.287155042443,0.013309163171840966,0.48483576106896586,36.42871868118375,1.1256771907356766,1.8001013206571312,-824.0388550252753,13.543660712846142,1,128,0,syn_20,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.14714434378060728,1
58,0.0,0.0,0.0,0.008180021635785531,10.0,0.7065481588971264,-1.0,2291.1272840850006,0.5432055961036791,0,2,0,syn_21,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,1
38,556234.3831216245,0.0,0.0,-0.01772603129623497,10.0,0.5636347169333228,3.944639398249589,-4048.240052181948,2.0,10,63,0,syn_22,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2446475575416259,0
73,1066896.4337030202,0.0,0.0,0.11253144018940966,10.0,0.5531532762052948,0.7982861576817355,2679.2248571081577,0.6313733741232861,0,31,0,syn_23,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.17543691846229192,1
69,487359.21528957033,0.0,0.0,0.050812907713573975,10.0,0.8725739233412758,1.0961874986107931,1849.9374937470416,0.015059122170004467,3,37,0,syn_24,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,0
50,310671.25666575285,0.0,0.0,-0.3228726909725617,10.0,0.526737781620551,0.18960058079437647,3040.6580303774736,5.349819150463334,0,40,0,syn_25,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2204295727228208,1
66,1193451.4987155285,65943.96667521304,0.055254835865710755,-0.1314631470353032,0.0,0.441503916333495,-1.0,-3996.7198329265666,24.617456827004688,0,28,0,syn_26,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.24367195151811952,1
60,301699.01442334655,0.0,0.0,-0.2675391888571429,10.0,1.0143703087900884,0.2865738087302089,12087.198581900206,0.0,1,11,0,syn_27,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,0
58,0.0,0.0,0.0,0.006124843212306719,10.0,1.727974267409773,5.0,1723.0407445553433,18.65887873771527,3,25,0,syn_28,adverse_case,2026-03-12T21:20:16Z,synthetic,rule_based,0.2869429480901078,1
